region,year,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
거창,2019,11.882586060892514,13.124359614399935,34.726455107172484,861.3715035769089,30.19677419354839,-7.596774193548387,37.79354838709678,22.36894127377998,2.3279211469534054,22.45817204301075,0.45760368663594475,1079.5,211.0,7.5,74.7970979408133,517.5,50.5,432.5,61.5
거창,2020,11.790834569274503,12.218946051167963,33.39687247186156,846.5355767479978,30.861290322580647,-5.725806451612903,36.58709677419355,22.92910394265233,6.125483870967742,22.92910394265233,0.9130515387467556,1624.5,526.0,2.5,127.58351540381456,1166.5,35.5,1166.5,139.5
거창,2021,12.163148979465719,12.421110272436744,33.35178588169122,853.6335192306258,30.68064516129032,-6.562068965517242,37.24271412680756,22.534480286738347,0.7223091795116267,22.957813620071686,0.7223091795116267,998.0,297.5,0.0,94.77421950035641,572.5,32.5,546.0,32.5
거창,2022,11.90918202764977,13.343268049155148,35.009844224541396,949.3192370379857,30.72258064516129,-7.390322580645161,38.11290322580645,23.677240143369175,-1.4556067588325652,23.677240143369175,-1.4556067588325652,487.5,104.5,0.0,97.56789978555898,273.5,4.0,273.5,4.0
거창,2023,12.480729006656427,13.188906810035844,33.559559312214375,904.2769229608471,31.461290322580645,-7.838709677419355,39.3,23.833405017921148,2.8190092165898615,23.833405017921148,0.47707373271889403,1335.0,372.0,1.0,96.26855435582056,793.5,62.0,793.5,167.5
거창,2024,13.2203130021011,12.304112903225807,31.719542618724905,925.9947146537469,33.55483870967742,-5.235483870967743,38.79032258064516,21.16903225806452,2.953799283154122,25.08620071684588,1.2515387467556545,888.0,275.5,0.5,92.37007933118603,422.0,44.0,421.5,107.0
군위,2019,12.214881592421916,13.175947260624682,32.90802167814725,938.6272670631049,31.448387096774194,-8.59032258064516,40.038709677419355,20.064982078853046,1.4915412186379928,23.6521146953405,-0.36409370199692787,1002.0,175.5,5.0,74.40506301190824,487.0,45.5,401.5,52.5
군위,2020,12.164228463725125,12.79240606847114,31.926945343588116,915.2786071773462,31.98709677419355,-8.080645161290322,40.06774193548387,24.061290322580646,5.440107526881721,24.061290322580646,0.3751575824990731,1477.5,448.5,1.0,116.2676217903544,1026.0,52.5,1026.0,115.0
군위,2021,12.253575268817203,12.872061571940606,30.725641697130506,935.2089469452629,32.22258064516129,-9.670967741935485,41.89354838709677,23.464408602150538,-0.3661290322580646,23.977741935483873,-0.3661290322580646,1152.5,227.5,0.5,78.9961890850496,627.0,24.5,518.5,24.5
군위,2022,11.999345238095238,13.679468125960064,33.306904798494884,1025.7271272034593,31.51290322580645,-9.558064516129033,41.07096774193548,24.626738351254478,-2.451766513056836,24.626738351254478,-2.451766513056836,718.5,202.5,0.0,101.71286249578777,458.5,3.0,458.5,3.0
